week 26
   166545 1976PARIS19365 0.000615468156026 | 1976-07-01 | PARIS | STATE | LUNCHEON CONVERSATION WITH PRC AMBASSADOR
   166532 1976PARIS19273 0.00057921132609 | 1976-07-01 | PARIS | STATE | DRV DIPLOMATIC APPROACH CONCERNING REUNIFIED VIETNAM
*  166523 1976PARIS19227 0.000577613563196 | 1976-07-01 | PARIS | STATE | HIJACKED AIR FRANCE AIRCRAFT
*  166540 1976PARIS19328 0.000577613563196 | 1976-07-01 | PARIS | STATE | HIJACKED AIR FRANCE AIRCRAFT
*  166628 1976PARIS19871 0.000577613563196 | 1976-07-02 | PARIS | STATE | HIJACKED AIR FRANCE AIRCRAFT
   166550 1976PARIS19383 0.000566442045438 | 1976-07-02 | PARIS | STATE | FRENCH PETROLEUM DEVELOPMENTS
   166576 1976PARIS19521 0.000557767294745 | 1976-07-02 | PARIS | STATE | ANTARCTIC TREATY: SPECIAL PREPCOM ON MINERAL RESOURCES
   166534 1976PARIS19278 0.000523453681822 | 1976-07-01 | PARIS | STATE | FRANCOIS LEPICARD
   166552 1976PARIS19393 0.000523453681822 | 1976-07-02 | PARIS | STATE | FILMMAKER DANIEL KAMWA
   166555 1976PARIS19397 0.000523453681822 | 1976-07-02 | PARIS | STATE | FRANCOIS LEPICARD
   166558 1976PARIS19407 0.000523453681822 | 1976-07-02 | PARIS | STATE | W/W ALINE DAVIS
   166577 1976PARIS19522 0.000521408847247 | 1976-07-02 | PARIS | STATE | MBFR: NEW FRENCH POSITION ON USE OF DATA
   166554 1976PARIS19396 0.000519427720054 | 1976-07-02 | PARIS | STATE | ELYSEE COMMENT ON GISCARD'S UK VISIT AND EUROPEAN INSTITUTIONS
   166527 1976PARIS19253 0.000498331299098 | 1976-07-01 | PARIS | ATHENS | NEW FRENCH DCM IN ATHENS
   166541 1976PARIS19335 0.000495521638434 | 1976-07-01 | PARIS | STATE | FRENCH POLISH TRADE AGREEMENTS DURING POLISH PRIME MINISTER'S VISIT TO  PARIS
   166544 1976PARIS19349 0.000494189339616 | 1976-07-01 | PARIS | STATE | GF: OPERATION NORD (GFXA-75-8055)
   166549 1976PARIS19382 0.000492233830559 | 1976-07-02 | PARIS | INS WASHDC IMMEDIATE | PASSPORT WAIVER
   166569 1976PARIS19455 0.000491949127398 | 1976-07-02 | PARIS | STATE | EC INITIATIVE ON CYPRUS
   166553 1976PARIS19395 0.00049097206109 | 1976-07-02 | PARIS | STATE | GRAND JURY
   166571 1976PARIS19460 0.000490707292714 | 1976-07-02 | PARIS | STATE | SHIPMENT OF PAPSON BODY
   166551 1976PARIS19386 0.000487774980034 | 1976-07-02 | PARIS | STATE | CUBAN TRADE
   166568 1976PARIS19454 0.000484816602405 | 1976-07-02 | PARIS | STATE | KARAMANLIS SUDDEN TRIP TO PARIS
   166581 1976PARIS19532 0.000481627699898 | 1976-07-02 | PARIS | STATE | ANGOLAN MERCENARY TRIAL: APPROACH TO NETO
   166531 1976PARIS19271 0.000479293201338 | 1976-07-01 | PARIS | WARSAW | POZNAN ENGLISH TEACHING SEMINAR
   166608 1976PARIS19699 0.000477782243465 | 1976-07-07 | PARIS | STATE | REQUEST FOR TELEGRAM TRANSMITTAL
   166528 1976PARIS19256 0.000468563877436 | 1976-07-01 | PARIS | STATE | NGUYEN VAN LOC SUBJECT WAS BORN VIETNAM 5/21/44 AND IS BEING
   166539 1976PARIS19327 0.000467699501518 | 1976-07-01 | PARIS | STATE | FY-76 INTERNATIONAL VISITOR PROGRAM
   166557 1976PARIS19400 0.00046636808704 | 1976-07-02 | PARIS | STATE | TRAVEL PLANS, FRANK NAYLOR
   166524 1976PARIS19231 0.000465968076504 | 1976-07-01 | PARIS | DAKAR USIA | TEACHER TRAINING SEMINAR - ROGER & PATRICIA CHARLIER
   166559 1976PARIS19409 0.000459750035633 | 1976-07-02 | PARIS | STATE | ABRUPT CHANGE IN LEADERSHIP OF FRENCH SPACE AGENCY
   166564 1976PARIS19442 0.000459628042677 | 1976-07-02 | PARIS | STATE | BIO. CAT.1, VIETNAMESE NATIONAL, VO HA HIEN, GRANDSON VO HA THIEN
   166560 1976PARIS19423 0.000453786272935 | 1976-07-02 | PARIS | STATE | DRV DIPLOMATIC APPROACH CONCERNING REUNIFIED VIETNAM
*  166530 1976PARIS19262 0.000452700652061 | 1976-07-01 | PARIS | STATE | HIJACKED AIR FRANCE AIRCRAFT
*  166566 1976PARIS19449 0.000452700652061 | 1976-07-02 | PARIS | STATE | HIJACKED AIR FRANCE AIRCRAFT
*  166574 1976PARIS19514 0.000452700652061 | 1976-07-02 | PARIS | STATE | HIJACKED AIR FRANCE AIRCRAFT
   166582 1976PARIS19539 0.000450759069037 | 1976-07-02 | PARIS | KHARTOUM STATE | REQUEST TO CONTACT UNESCO DG M'BOW
   166578 1976PARIS19524 0.000446576709929 | 1976-07-02 | PARIS | STATE | UNESCO "INFORMATION GROUP" DISCUSSION OF ISRAEL -- EUROPEAN GROUP  ISSUE AND RACE --
   166536 1976PARIS19289 0.000444436657133 | 1976-07-01 | PARIS | STATE | SPECIALTY STEEL CONTROLS
   166542 1976PARIS19340 0.00044406767027 | 1976-07-01 | PARIS | STATE | ENTRY VISAS AND CSCE
   166526 1976PARIS19252 0.000443756753199 | 1976-07-01 | PARIS | STATE | PARIS MATCH ITEM ON SECRETARY'S VISIT
