PRETORIA	AFRICA / AFRICAN / BLACK / PRESS / SA / GOVERNMENT / SWAPO / NAMIBIA / MINISTER / RHODESIA
ABIDJAN	IVORY / COAST / GOIC / IVORIAN / PROJECT / STEARNS / AFRICAN / PRESIDENT / DEVELOPMENT / AFRICA
ABU DHABI	DHABI / ARAB / TENDER / OIL / COMPANY / PROJECT / ONE / LOCAL / BOX / GULF
ACCRA	GOG / BLACK / GHANAIAN / GOVERNMENT / COMMISSIONER / AFRICAN / UNION / HEAD / COCOA / DIRECTOR
ACCRA OR-M	GHANAIAN / OPPORTUNE / AGGRAVATE / EXISTENT / PRESIDE / PEAK / COLONEL / ROCKET / CRUISE / MIDNIGHT
ADANA	TURKISH / PRISON / RPP / ANKARA / USAF / COURT / TURKEY / CONOFF / PROSECUTOR / HASHISH
ADDIS ABABA	ETHIOPIAN / ETHIOPIA / ADDIS / EPMG / OAU / ABABA / EMBASSY / AFRICAN / PMAC / MENGISTU
ALGIERS	ALGERIAN / ALGERIA / FRENCH / GOA / SAHARA / ONE / POLISARIO / SONATRACH / TENDER / PRESS
AMMAN	JORDANIAN / ARAB / BANK / PLO / ISRAELI / VISIT / ISRAEL / PEACE / SYRIA / PRINCE
AMSTERDAM	NETHERLANDS / REPATRIATION / HAGUE / KLM / SUBSISTENCE / LOAN / PAA / CLAIMANT / UNIDENTIFIED / EXPENDITURE
ANKARA	TURKISH / TURKEY / ANKARA / GOVERNMENT / CYPRUS / GREEK / PARTY / PRESS / NATO / MFA
ANTWERP	BELGIUM / BELGIAN / BOLSTER / TURNOVER / OUTLOOK / STANLEY / CNTRY / PENSION / INVESTIGATE / CONSULATE
ASMARA	EPMG / CONGEN / ADDIS / TRACT / LOCAL / ETHIOPIAN / ERITREAN / SECURITY / SITUATION / ONE
ASUNCION	PARAGUAYAN / GOP / HUMAN / PRESIDENT / WHITE / GOVERNMENT / EMBASSY / MINISTER / AMBASSADOR / POLICE
ATHENS	GREEK / ATHENS / GREECE / GOG / CYPRUS / MINISTER / TURKISH / GOVERNMENT / PRESS / TURKEY
