general #0	SEABEE / REGISTRY / CERP / RTC / ATTN / POUCH / INVOICE / OIC / WHEREABOUTS / AIRGRAM
general #1	EMBASSY / REF / TEAM / REQUEST / OFFICE / STATE / POST / STAFF / VISIT / SUBJECT
general #2	US / EMBASSY / TRADE / COMMERCIAL / VISIT / GROUP / LIST / FAIR / HOST / PARTICIPATE
general #3	DEVELOPMENT / US / COOPERATION / SPANISH / POSITION / UNHCR / LEVEL / END / AID / JAPANESE
general #4	DELEGATION / GROUP / DATE / SESSION / AGREEMENT / US / WISH / AIRCRAFT / AMBASSADOR / INTEREST
general #5	TAX / DEPT / SUBJECT / TIME / COMMERCIAL / REVIEW / POSITION / NEED / INCOME / OFFICE
general #6	GOVERNMENT / POLICY / SOVIET / TIME / WELL / US / DO / ROLE / FORCE / WASHDC
general #7	COMMITTEE / SECURITY / TEXT / LEBANESE / SPEECH / UNITED STATES / LANGUAGE / VOTE / IMPORTANT / GUINEA
general #8	TEXT / UNITED STATES / PERCENT / GOVERNMENT / EXPORT / ENERGY / YEAR / TOTAL / AGREEMENT / INCREASE
general #9	PROPOSAL / TIME / QUESTION / VIETNAM / UNQUOTE / POSITION / BORDER / USE / USG / CHARTER
general #10	MISSION / AID / PLEASE / ADVISE / DEPARTMENT / REQUEST / TRADE / GROUP / APPRECIATE / ADVANCE
general #11	AFRICA / AFRICAN / SOVIET / NAMIBIA / SECRETARY / CALL / BLACK / COMMITTEE / POSITION / SWAPO
general #12	GENERAL / PARTY / PEOPLE / SUPPORT / LAW / END / MINISTER / GOVERNMENT / SUMMARY / ROLE
general #13	US / COMMITTEE / JOINT / GROUP / PUERTO / BRAZIL / RICO / CHAIRMAN / CONTROL / VOTE
general #14	TOTAL / NUMBER / MILLION / RATE / EXCHANGE / OIL / NONE / DEBT / DOLLAR / DATE
general #15	AMERICAN / OFFICER / CONSULAR / SCHEDULE / TIME / ARRIVE / FLIGHT / LEAVE / EMBASSY / ONE
general #16	VISIT / TIME / PROGRAM / GENERAL / DIRECTOR / AIRCRAFT / TEAM / GOVERNMENT / PRIVATE / RESIDENCE
general #17	REFTEL / VISIT / APPRECIATE / INVITATION / DEPARTMENT / POST / SCHEDULE / TRAVEL / ATTEND / DO
general #18	EMBASSY / HOTEL / DEATH / VISIT / DEPART / REQUEST / PROGRAM / ARRIVE / SEMINAR / LOCAL
general #19	US / COMMITTEE / LEVEL / ASEAN / POSITION / USG / AGREEMENT / BELIEVE / THIRD / APPROACH
general #20	VISIT / QUOTE / DELEGATION / EMBASSY / REFTEL / SUPPORT / DEPARTMENT / PRESS / COMMITTEE / MEET
general #21	TIME / ONE / REF / PRICE / MAP / REQUEST / DATE / INTEREST / PROGRAM / RATE
general #22	AGREEMENT / US / DRAFT / RESOLUTION / TEXT / CANADIAN / CANADA / USDEL / LANGUAGE / ISSUE
general #23	VISIT / US / AMERICAN / ONE / AMBASSADOR / FRENCH / MEET / GENERAL / LIKE / AID
general #24	PROGRAM / PARTY / POST / CUBAN / WEEK / GENERAL / PRESS / AMBASSADOR / ARRIVAL / COMMENT
